"n","mean","sd","median","min","max","best_dist","param1","param2","BIC","variable","outcome"
987,1.82377912867275,1.57991019715845,1.5,0.05,26.1,"lognormal",0.404643768072133,0.608828111389655,2634.00390771991,"hormone1",0
987,375.147922998987,255.410877672249,312,31,2798,"lognormal",5.76754597093495,0.545670056255409,13004.1774545545,"hormone2",0
987,8.99088145896657,11.5823481634267,5.6,0,118.4,"normal",8.99088145896657,11.5764792255463,7649.05141791313,"hormone3",0
987,7.50770010131712,10.9218764352731,5.5,0.1,131.4,"lognormal",1.70244579557154,0.686380190317542,5432.53923549204,"hormone4",0
987,335.607638297872,332.255049832313,274.898,0,5686.811,"normal",335.607638297872,332.086691549483,14274.6258151336,"hormone5",0
987,78.8897568389058,53.9886227303693,64.5,0.76,375.2,"lognormal",4.15251710836147,0.681147837114515,10253.8743339035,"hormone6",0
987,5.62522796352584,3.89884804120212,5.1,0,47.1,"normal",5.62522796352584,3.896872440345,5499.75805908177,"hormone7",0
987,180.020364741641,87.2303239271923,166,16.3,558,"lognormal",5.07707302911728,0.496228184542726,11453.6960515927,"hormone8",0
987,0.761721655894864,8.29828563519786,0.427,0.077,261,"lognormal",-0.869827306276653,0.639936115519648,216.567107917138,"hormone10_generated",0
987,0.957304964539007,0.387210902700395,0.91,0.2,2.73,"lognormal",-0.125362982666878,0.412326046614981,818.460204739267,"lipids1",0
987,4.46140830800405,0.910692368872158,4.33,2.43,8.82,"lognormal",1.47548328287845,0.198898667943611,2539.44737905229,"lipids2",0
987,1.10424518743668,0.276740138256729,1.06,0.41,2.01,"lognormal",0.0679674615738079,0.251427277691379,223.634441267967,"lipids3",0
987,2.92795339412361,0.874513058280767,2.81,0.82,7.01,"lognormal",1.03070408974726,0.297854657257944,2458.57449084073,"lipids4",0
987,4.89506585612969,0.806569546151011,4.8,3.13,11.5,"lognormal",1.57557827108711,0.157190847725728,2272.48392939118,"сarb_metabolism",0
987,2.06821681864235,0.803365803479091,1.97,0.5,5.02,"lognormal",0.648717084219187,0.405399499197594,2313.05190757306,"lipid_pero1",0
987,1.38390070921986,0.569733294307519,1.3,0.12,3.7,"lognormal",0.237330583642646,0.436278469419189,1645.8818186258,"lipid_pero2",0
987,0.68161094224924,0.373884193384397,0.59,0.07,1.93,"lognormal",-0.533412175717138,0.562112198019602,624.688151958503,"lipid_pero3",0
987,1.43188449848024,0.80264806083785,1.32,0.23,12.4,"lognormal",0.235871357837457,0.504192576130044,1928.5948099052,"lipid_pero4",0
987,11.8791691995947,3.60867294228853,11.66,4.04,27.8,"lognormal",2.42645324824899,0.317655833644431,5340.83563973289,"lipid_pero5",0
987,1.62109422492401,0.189156390851275,1.63,1.07,2.43,"normal",1.62109422492401,0.189060542661259,-473.294075152784,"antioxidant1",0
987,2.34646403242148,0.465938777844189,2.31,1.18,3.82,"lognormal",0.833385860183542,0.198078644296635,1263.79179464284,"antioxidant2",0
987,1.97630192502533,0.369307781327759,1.96,0.94,3.59,"normal",1.97630192502533,0.369120647907419,847.422971021453,"antioxidant3",0
987,7.73222897669706,3.14639813007709,7.16,0,25,"normal",7.73222897669706,3.14480380611859,5076.48747631279,"antioxidant4",0
987,0.680354609929078,0.290754031061696,0.6,0.23,2.04,"lognormal",-0.466504733078635,0.397407948087494,72.3023545091055,"antioxidant5",0
160,1.658125,0.86245750054804,1.5,0.3,5.5,"lognormal",0.382568013916045,0.503686839206756,367.176265170086,"hormone1",1
160,411.95625,270.885697235903,365.5,77,2630,"lognormal",5.88146281519024,0.510215990536247,2130.94401685643,"hormone2",1
160,9.910625,11.7903734150915,6.05,0.1,91.2,"lognormal",1.87202946574283,0.901439583073468,1030.05618511577,"hormone3",1
160,9.40125,13.435599887598,5.5,1.5,90,"lognormal",1.84204432178135,0.758959140173179,965.406513450147,"hormone4",1
160,276.44851875,235.444634137947,250,0,2264.758,"normal",276.44851875,234.707716417568,2210.8797918904,"hormone5",1
160,75.754375,48.6841221993773,68.7,4.4,283.1,"lognormal",4.11971583196018,0.68248226201375,1660.27374704827,"hormone6",1
160,5.65,3.96964900306654,5.1,0.2,34.7,"lognormal",1.47689700308101,0.799246173488587,865.110110063866,"hormone7",1
160,153.7625,70.9638102027404,142.5,20.7,384,"lognormal",4.92443520536109,0.489221739944567,1811.24932433376,"hormone8",1
160,0.508252504512635,0.36564639137398,0.4555,0.077,2.971,"lognormal",-0.871974271211592,0.633226924848807,38.9624538656401,"hormone10_generated",1
160,0.984625,0.370435554449084,0.98,0.27,2.19,"lognormal",-0.0910949537008014,0.402578809322623,143.903684517966,"lipids1",1
160,4.7635625,0.962299621795061,4.63,3.08,8.4,"lognormal",1.54181929613994,0.193991420522475,432.811622618288,"lipids2",1
160,1.115,0.266455891543731,1.09,0.62,2,"lognormal",0.0810529206255909,0.235974888986017,28.0580505459731,"lipids3",1
160,3.1979375,0.944966870322071,3.125,1.36,6.59,"lognormal",1.12036668273174,0.290706268069515,427.386605637918,"lipids4",1
160,4.8600625,0.707654018504566,4.8,3.04,6.59,"normal",4.8600625,0.705439133514543,352.551546843465,"сarb_metabolism",1
160,2.1810625,0.83561870037798,1.995,0.6,4.4,"lognormal",0.701579250486142,0.408883438501857,402.531988813091,"lipid_pero1",1
160,1.4482875,0.616235103663708,1.255,0.22,3.26,"lognormal",0.275931761896529,0.45061027333765,297.420057421682,"lipid_pero2",1
160,0.75525,0.421248443999888,0.64,0.09,1.75,"lognormal",-0.447840767367581,0.60727519629752,161.294202458756,"lipid_pero3",1
160,1.49525,0.706444681521713,1.395,0.26,3.66,"lognormal",0.287053411319851,0.497505761777715,332.660364762216,"lipid_pero4",1
160,11.7644375,3.28265955737937,11.96,1.75,18.55,"normal",11.7644375,3.2723851673655,843.576799215961,"lipid_pero5",1
160,1.6220625,0.163956954294825,1.62,1.18,2.01,"normal",1.6220625,0.163443785729987,-115.400894841337,"antioxidant1",1
160,2.3005,0.448193859673531,2.275,1.54,3.76,"lognormal",0.814743615734924,0.191189805154648,195.492283256804,"antioxidant2",1
160,1.94775,0.356525775969729,1.895,0.97,3.1,"lognormal",0.649856651630478,0.185294876539594,132.706632180419,"antioxidant3",1
160,8.5661875,3.11654801614698,8.32,3.26,19.29,"lognormal",2.08107993018617,0.371642179197665,813.41264903765,"antioxidant4",1
160,0.763625,0.287484180587472,0.71,0.26,1.98,"lognormal",-0.333958062352013,0.356199064406248,27.0191271907601,"antioxidant5",1
